 400 = number of grid points in r
 index     r/rstar  r(au)
 233  3380.52615  697387136.
 234  3409.8321  703432768.
 235  3439.26464  709504576.
 236  3468.82377  715602496.
 237  3498.5095  721726528.
 238  3528.32181  727876672.
 239  3558.26072  734052928.
 240  3588.32622  740255296.
 241  3618.51831  746483840.
 242  3648.837  752738432.
 243  3679.28227  759019136.
 244  3709.85414  765325952.
 245  3740.5526  771658944.
 246  3771.37765  778017984.
 247  3802.32929  784403200.
 248  3833.40752  790814464.
 249  3864.61234  797251904.
 250  3895.94376  803715392.
 251  3927.40177  810205056.
 252  3958.98636  816720832.
 253  3990.69756  823262720.
 254  4022.53534  829830656.
 255  4054.49971  836424768.
 256  4086.59068  843044992.
 257  4118.80823  849691328.
 258  4151.15238  856363776.
 259  4183.62312  863062336.
 260  4216.22045  869787008.
 261  4248.94438  876537856.
 262  4281.79489  883314752.
 263  4314.772  890117760.
 264  4347.87569  896946880.
 265  4381.10598  903802176.
 266  4414.46286  910683520.
 267  4447.94634  917591040.
 268  4481.5564  924524608.
 269  4515.29306  931484352.
 270  4549.1563  938470208.
 271  4583.14614  945482112.
 272  4617.26257  952520192.
 273  4651.5056  959584384.
 274  4685.87521  966674688.
 275  4720.37141  973791104.
 276  4754.99421  980933632.
 277  4789.7436  988102272.
 278  4824.61958  995297024.
 279  4859.62215  1.00251789E+09
 280  4894.75131  1.00976486E+09
 281  4930.00707  1.01703795E+09
 282  4965.38941  1.02433715E+09
 283  5000.89835  1.03166253E+09
 284  5036.53388  1.03901395E+09
 285  5072.296  1.04639149E+09
 286  5108.18472  1.0537952E+09
 287  5144.20002  1.06122496E+09
 288  5180.34191  1.0686809E+09
 289  5216.6104  1.07616294E+09
 290  5253.00548  1.08367104E+09
 291  5289.52715  1.09120525E+09
 292  5326.17541  1.0987657E+09
 293  5362.95027  1.10635213E+09
 294  5399.85171  1.1139648E+09
 295  5436.87975  1.12160346E+09
 296  5474.03438  1.12926835E+09
 297  5511.3156  1.13695923E+09
 298  5548.72341  1.14467635E+09
 299  5586.25781  1.15241946E+09
 300  5623.91881  1.1601888E+09
 301  5661.70639  1.16798413E+09
 302  5699.62057  1.1758057E+09
 303  5737.66134  1.18365338E+09
 304  5775.8287  1.19152704E+09
 305  5814.12265  1.19942694E+09
 306  5852.5432  1.20735296E+09
 307  5891.09033  1.21530509E+09
 308  5929.76406  1.2232832E+09
 309  5968.56438  1.23128755E+09
 310  6007.49129  1.23931802E+09
 311  6046.54479  1.24737459E+09
 312  6085.72488  1.25545728E+09
 313  6125.03157  1.26356608E+09
 314  6164.46485  1.27170099E+09
 315  6204.02472  1.27986202E+09
 316  6243.71118  1.28804915E+09
 317  6283.52423  1.2962624E+09
 318  6323.46387  1.30450176E+09
 319  6363.5301  1.31276723E+09
 320  6403.72293  1.32105882E+09
 321  6444.04235  1.32937651E+09
 322  6484.48836  1.33772032E+09
 323  6525.06096  1.34609024E+09
 324  6565.76015  1.3544864E+09
 325  6606.58594  1.36290854E+09
 326  6647.53831  1.3713568E+09
 327  6688.61728  1.37983117E+09
 328  6729.82284  1.38833178E+09
 329  6771.15499  1.39685837E+09
 330  6812.61373  1.40541107E+09
 331  6854.19906  1.41399002E+09
 332  6895.91099  1.42259494E+09
 333  6937.7495  1.43122611E+09
 334  6979.71461  1.43988326E+09
 335  7021.80631  1.44856666E+09
 336  7064.0246  1.45727603E+09
 337  7106.36949  1.46601165E+09
 338  7148.84096  1.47477325E+09
 339  7191.43903  1.48356109E+09
 340  7234.16369  1.49237491E+09
 341  7277.01494  1.50121498E+09
 342  7319.99278  1.51008115E+09
 343  7363.09721  1.51897331E+09
 344  7406.32823  1.52789171E+09
 345  7449.68585  1.53683622E+09
 346  7493.17006  1.54580672E+09
 347  7536.78085  1.55480346E+09
 348  7580.51824  1.5638263E+09
 349  7624.38223  1.57287526E+09
 350  7668.3728  1.58195034E+09
 351  7712.48997  1.59105152E+09
 352  7756.73372  1.60017882E+09
 353  7801.10407  1.60933222E+09
 354  7845.60101  1.61851174E+09
 355  7890.22454  1.62771725E+09
