5.378   77.92   -0.8414 +0.9716 -11.48  +17.22
3.575   84.48   -0.2804 +0.2804 -13.39  +18.18
2.784   127.9   -0.2704 +0.2804 -18.18  +27.75
2.063   121.5   -0.1702 +0.2504 -15.31  +24.87
1.232   168.8   -0.3005 +0.4507 -21.05  +33.49
