     0.447214      4.26353      4.03647      2.42351
     0.519477      3.82919      2.53672      2.14340
     0.603418      3.32466      2.38763      1.81803
     0.700922      2.73862      2.21446      1.44009
     0.814181      2.05787      2.01331      1.00107
     0.945741      1.26712      1.77965     0.491117
      1.09856     0.710224      1.54277     0.194424
      1.27607     0.521755      1.36965     0.122893
      1.48227     0.408160      1.23623    0.0905838
      1.72178     0.284330      1.08185    0.0565666
      2.00000     0.201171     0.950659    0.0364439
      2.32317     0.146665     0.832128    0.0250420
      2.69857     0.104667     0.729402    0.0167179
      3.13462    0.0773109     0.642385    0.0114276
      3.64113    0.0552503     0.553608   0.00740488
      4.22948    0.0395063     0.477859   0.00499129
      4.91291    0.0270875     0.396462   0.00300468
      5.70677    0.0171817     0.326835   0.00162641
      6.62891    0.0110434     0.263386  0.000849059
      7.70005   0.00674172     0.212308  0.000470236
      8.94427   0.00396617     0.166873  0.000247237
