0.01047 215.9   -2.551  +2.232
0.03045 211.1   -2.870  +1.913
0.05705 201.9   -2.870  +2.870
0.09707 195.8   -2.870  +2.551
0.1304  192.3   -2.551  +2.870
0.1638  188.1   -2.232  +2.232
0.1971  183.4   -2.870  +2.870
0.2306  183.7   -2.870  +1.913
0.2605  171.6   -2.870  +2.870
0.2939  170.6   -2.870  +2.232
0.3238  160.4   -2.870  +2.551
0.3607  165.2   -2.232  +2.551
0.3941  162.3   -2.551  +2.551
0.4274  154.7   -9.569  +8.931
0.5077  158.2   -5.422  +5.103
0.4609  159.8   -5.103  +4.465
0.5679  153.7   -4.784  +6.060
0.6517  164.5   -4.465  +4.146
0.7653  157.8   -5.422  +5.103
0.9125  160.7   -5.741  +5.422
1.126   147.0   -7.017  +7.017
1.504   135.5   -9.569  +9.250
2.119   149.2   -39.55  +38.27
