      1.12322    0.0119212      194.268    0.0229008
      2.93016   0.00747606      175.099    -0.331674
      4.82008   0.00583704      163.782    -0.405122
      6.75060   0.00484583      157.620    -0.358498
      8.64948   0.00424754      152.166    -0.387448
      10.5717   0.00365708      147.276    -0.454186
      12.4867   0.00324445      142.763    -0.384165
      14.4025   0.00293947      137.574    -0.438001
      16.3218   0.00268945      136.287    -0.430123
      18.2293   0.00248417      135.410    -0.393115
      20.1656   0.00227343      128.903    -0.320269
      22.0848   0.00209096      127.970    -0.346224
      24.0061   0.00194339      126.560    -0.299773
      25.9141   0.00180949      124.229    -0.351791
      27.8595   0.00167657      121.468    -0.353372
      29.7533   0.00158200      121.473    -0.336745
      31.6833   0.00149196      119.730    -0.307378
      33.6061   0.00140855      118.403    -0.290955
      35.5149   0.00132816      116.912    -0.286697
      37.4355   0.00124485      118.057    -0.285183
      39.3558   0.00114179      116.482    -0.304530
      41.2860   0.00107207      116.902    -0.353475
      43.2040   0.00100443      115.748    -0.384264
      45.1194  0.000954392      116.231    -0.441163
