  6.039	 18.482	 
  6.643	 18.624	 
  7.307	 18.768	 
  8.038	 18.914	 
  8.842	 19.065	 
  9.726	 19.219	 
 10.699	 19.376	 
 11.769	 19.537	 
 12.946	 19.706	 
 14.240	 19.881	 
 15.664	 20.063	 
 17.230	 20.247	 
 18.954	 20.424	 
 20.849	 20.594	 
 22.934	 20.747	 
 25.227	 20.896	 
 27.750	 21.039	 
 30.525	 21.170	 
 33.577	 21.304	 
 36.935	 21.441	 
 40.629	 21.579	 
 44.691	 21.742	 
 49.161	 21.923	 
 54.077	 22.120	 
 59.484	 22.321	 
 65.433	 22.538	 
 71.976	 22.752	 
 79.174	 22.979	 
 87.091	 23.217	 
 95.800	 23.460	 
105.380	 23.712	 
115.918	 23.954	 
127.510	 24.176	 
140.261	 24.386	 
154.287	 24.664	 
