      1.91995    0.0139683    -0.121093      2.93117
      3.84000   0.00103721    0.0582021      4.45474
      5.75995  0.000300935     0.257742      5.65458
      7.68000  0.000114288     0.323858      6.54195
      9.59996  5.21266e-05     0.406800      7.20919
      11.5193  2.86068e-05     0.506769      7.75547
      13.4399  1.57115e-05     0.560230      8.17418
      15.3595  1.02566e-05     0.632863      8.53792
      17.2797  5.64913e-06     0.687228      8.79516
      19.1993  4.13048e-06     0.680945      9.03005
      21.1188  3.50282e-06     0.665286      9.27335
      23.0387  2.81577e-06     0.674714      9.50793
      24.9596  2.21346e-06     0.673930      9.72577
      26.8785  1.55102e-06     0.642599      9.90381
      28.7991  9.38917e-07     0.585951      10.0281
      30.7198  8.02524e-07     0.480008      10.1496
      32.6400  8.03150e-07     0.430592      10.2872
      34.5597  7.30556e-07     0.380593      10.4281
      36.4791  6.55307e-07     0.413828      10.5694
      38.3946  5.40627e-07     0.549995      10.6988
      40.3165  4.25280e-07     0.658647      10.8113
      42.2397  2.89629e-07     0.777154      10.8956
      44.1539  1.42617e-07     0.812388      10.9411
      46.0701  5.81101e-08     0.806500      10.9613
