 131 = number of grid points in theta
 index  thet(rad)  thet(deg)    cost     tan**2(thet)
 104  2.4380908  139.692307 -0.762581468  0.719600201
 105  2.46091413  141. -0.777145982  0.655750155
 106  2.48373771  142.307693 -0.791305602  0.597024202
 107  2.50656128  143.615387 -0.805053115  0.542946756
 108  2.52938485  144.92308 -0.81838125  0.493099213
 109  2.55220842  146.230774 -0.831283092  0.447111875
 110  2.575032  147.538467 -0.843751907  0.404657483
 111  2.59785557  148.846161 -0.855781257  0.365445733
 112  2.6206789  150.153839 -0.867364824  0.329218477
 113  2.64350247  151.461533 -0.878496587  0.29574585
 114  2.66632605  152.769226 -0.889170766  0.264822662
 115  2.68914962  154.07692 -0.899381757  0.236265734
 116  2.71197319  155.384613 -0.909124315  0.209911123
 117  2.73479676  156.692307 -0.918393254  0.185612082
 118  2.75762033  158. -0.927183867  0.163237184
 119  2.78044367  159.307693 -0.935491502  0.142668694
 120  2.80326724  160.615387 -0.94331181  0.123801105
 121  2.82609081  161.92308 -0.950640798  0.106539994
 122  2.84891438  163.230774 -0.957474589  0.0908009261
 123  2.87173796  164.538467 -0.963809609  0.0765085369
 124  2.89456153  165.846161 -0.969642639  0.063595742
 125  2.91738486  167.153839 -0.974970579  0.0520030148
 126  2.94020844  168.461533 -0.979790628  0.0416778177
 127  2.96303201  169.769226 -0.984100342  0.032574065
 128  2.98585558  171.07692 -0.987897456  0.0246516671
 129  3.00867915  172.384613 -0.991180003  0.0178761687
 130  3.03150272  173.692307 -0.993946195  0.0122184111
 131  3.14159274  180. -1.  0.
