        1001
       16.383456       16.389764       16.396071       16.402378       16.408686
       16.414993       16.421300       16.427608       16.433915       16.440222
       16.446530       16.452837       16.459144       16.465452       16.471759
       16.478066       16.484374       16.490681       16.496988       16.503296
       16.509603       16.515910       16.522218       16.528525       16.534832
       16.541140       16.547447       16.553754       16.560062       16.566369
       16.572676       16.578984       16.585291       16.591598       16.597906
       16.604213       16.610520       16.616828       16.623135       16.629442
       16.635750       16.642057       16.648365       16.654672       16.660979
       16.667286       16.673594       16.679901       16.686209       16.692516
       16.698823       16.705131       16.711438       16.717745       16.724053
       16.730360       16.736667       16.742975       16.749282       16.755589
       16.761897       16.768204       16.774511       16.780819       16.787126
       16.793433       16.799741       16.806048       16.812355       16.818663
       16.824970       16.831277       16.837585       16.843892       16.850199
       16.856507       16.862814       16.869121       16.875429       16.881736
       16.888043       16.894351       16.900658       16.906965       16.913273
       16.919580       16.925887       16.932195       16.938502       16.944809
       16.951117       16.957424       16.963731       16.970039       16.976346
       16.982653       16.988961       16.995268       17.001575       17.007883
       17.014190       17.020497       17.026805       17.033112       17.039419
       17.045727       17.052034       17.058341       17.064649       17.070956
       17.077263       17.083571       17.089878       17.096185       17.102493
       17.108800       17.115107       17.121415       17.127722       17.134029
       17.140337       17.146644       17.152952       17.159259       17.165566
       17.171874       17.178181       17.184488       17.190795       17.197103
       17.203410       17.209718       17.216025       17.222332       17.228639
       17.234947       17.241254       17.247562       17.253869       17.260176
       17.266484       17.272791       17.279098       17.285406       17.291713
       17.298020       17.304328       17.310635       17.316942       17.323250
       17.329557       17.335864       17.342172       17.348479       17.354786
       17.361094       17.367401       17.373708       17.380016       17.386323
       17.392630       17.398938       17.405245       17.411552       17.417860
       17.424167       17.430474       17.436782       17.443089       17.449396
       17.455704       17.462011       17.468318       17.474626       17.480933
       17.487240       17.493548       17.499855       17.506162       17.512470
       17.518777       17.525084       17.531392       17.537699       17.544006
       17.550314       17.556621       17.562928       17.569236       17.575543
       17.581850       17.588158       17.594465       17.600772       17.607080
       17.613387       17.619695       17.626002       17.632309       17.638617
       17.644924       17.651231       17.657538       17.663846       17.670153
       17.676460       17.682768       17.689075       17.695382       17.701690
       17.707997       17.714305       17.720612       17.726919       17.733227
       17.739534       17.745841       17.752148       17.758456       17.764763
       17.771071       17.777378       17.783685       17.789993       17.796300
       17.802607       17.808915       17.815222       17.821529       17.827837
       17.834144       17.840451       17.846759       17.853066       17.859373
       17.865681       17.871988       17.878295       17.884603       17.890910
       17.897217       17.903525       17.909832       17.916139       17.922447
       17.928754       17.935061       17.941369       17.947676       17.953983
       17.960291       17.966598       17.972905       17.979213       17.985520
       17.991827       17.998135       18.004442       18.010749       18.017057
       18.023364       18.029671       18.035979       18.042286       18.048593
       18.054901       18.061208       18.067515       18.073823       18.080130
       18.086438       18.092745       18.099052       18.105360       18.111667
       18.117974       18.124281       18.130589       18.136896       18.143203
       18.149511       18.155818       18.162125       18.168433       18.174740
       18.181047       18.187355       18.193662       18.199969       18.206277
       18.212584       18.218891       18.225199       18.231506       18.237813
       18.244121       18.250428       18.256736       18.263043       18.269350
       18.275658       18.281965       18.288272       18.294580       18.300887
       18.307194       18.313502       18.319809       18.326116       18.332424
       18.338731       18.345038       18.351346       18.357653       18.363960
       18.370268       18.376575       18.382882       18.389190       18.395497
       18.401804       18.408112       18.414419       18.420726       18.427034
       18.433341       18.439648       18.445956       18.452263       18.458570
       18.464878       18.471185       18.477492       18.483800       18.490107
       18.496414       18.502722       18.509029       18.515337       18.521644
       18.527951       18.534258       18.540566       18.546873       18.553181
       18.559488       18.565795       18.572102       18.578410       18.584717
       18.591024       18.597332       18.603639       18.609947       18.616254
       18.622561       18.628868       18.635176       18.641483       18.647791
       18.654098       18.660405       18.666712       18.673020       18.679327
       18.685634       18.691942       18.698249       18.704557       18.710864
       18.717171       18.723478       18.729786       18.736093       18.742400
       18.748708       18.755015       18.761322       18.767630       18.773937
       18.780244       18.786552       18.792859       18.799167       18.805474
       18.811781       18.818089       18.824396       18.830703       18.837011
       18.843318       18.849625       18.855933       18.862240       18.868547
       18.874855       18.881162       18.887469       18.893777       18.900084
       18.906391       18.912699       18.919006       18.925313       18.931621
       18.937928       18.944235       18.950543       18.956850       18.963157
       18.969465       18.975772       18.982079       18.988387       18.994694
       19.001001       19.007309       19.013616       19.019923       19.026231
       19.032538       19.038845       19.045153       19.051460       19.057767
       19.064075       19.070382       19.076689       19.082997       19.089304
       19.095611       19.101919       19.108226       19.114533       19.120841
       19.127148       19.133456       19.139763       19.146070       19.152378
       19.158685       19.164992       19.171300       19.177607       19.183914
       19.190222       19.196529       19.202836       19.209143       19.215451
       19.221758       19.228066       19.234373       19.240680       19.246988
       19.253295       19.259602       19.265909       19.272217       19.278524
       19.284832       19.291139       19.297446       19.303753       19.310061
       19.316368       19.322676       19.328983       19.335290       19.341598
       19.347905       19.354212       19.360519       19.366827       19.373134
       19.379442       19.385749       19.392056       19.398364       19.404671
       19.410978       19.417286       19.423593       19.429900       19.436208
       19.442515       19.448822       19.455130       19.461437       19.467744
       19.474052       19.480359       19.486667       19.492974       19.499281
       19.505588       19.511896       19.518203       19.524510       19.530818
       19.537125       19.543433       19.549740       19.556047       19.562354
       19.568662       19.574969       19.581276       19.587584       19.593891
       19.600198       19.606506       19.612813       19.619120       19.625428
       19.631735       19.638043       19.644350       19.650657       19.656964
       19.663272       19.669579       19.675886       19.682194       19.688501
       19.694808       19.701116       19.707423       19.713730       19.720038
       19.726345       19.732652       19.738960       19.745267       19.751574
