          73
      17.3836      17.4336      17.4836      17.5336      17.5836      17.6336
      17.6836      17.7336      17.7836      17.8336      17.8836      17.9336
      17.9836      18.0336      18.0836      18.1336      18.1836      18.2336
      18.2836      18.3336      18.3836      18.4336      18.4836      18.5336
      18.5836      18.6336      18.6836      18.7336      18.7836      18.8336
      18.8836      18.9336      18.9836      19.0336      19.0836      19.1336
      19.1836      19.2336      19.2836      19.3336      19.3836      19.4336
      19.4836      19.5336      19.5836      19.6336      19.6836      19.7336
      19.7836      19.8336      19.8836      19.9336      19.9836      20.0336
      20.0836      20.1336      20.1836      20.2336      20.2836      20.3336
      20.3836      20.4336      20.4836      20.5336      20.5836      20.6336
      20.6836      20.7336      20.7836      20.8336      20.8836      20.9336
      20.9836
    0.0991631     0.109277     0.119424     0.129519     0.139828     0.150238
     0.160580     0.171376     0.182026     0.193474     0.205357     0.218053
     0.231705     0.246323     0.267393     0.281063     0.301011     0.311195
     0.318946     0.348523     0.362191     0.393307     0.427979     0.468213
     0.530033     0.563805     0.607728     0.643660     0.670951     0.691424
     0.704705     0.713867     0.719315     0.721362     0.720173     0.717024
     0.711958     0.705171     0.696807     0.686922     0.675234     0.661498
     0.645480     0.626406     0.593632     0.577076     0.545634     0.508678
     0.471302     0.427205     0.403183     0.367233     0.328643     0.286510
     0.223696     0.188435     0.131266    0.0675497  -0.00387859    -0.111667
    -0.172349    -0.272562    -0.384663    -0.510853    -0.704313    -0.813780
    -0.993876     -1.19793     -1.42879     -1.78845     -1.97890     -2.30807
     -2.67885
