#######################
   XBIN   YBIN   VEL
    4.8    2.4  -12.9
    4.8    3.2    0.0
    4.8    4.0    9.3
    5.6   -6.4 -183.2
    5.6   -5.6 -180.5
    5.6   -4.8 -180.3
    5.6   -4.0 -171.4
    5.6   -3.2 -154.7
    5.6   -2.4 -140.3
    5.6   -1.6 -119.0
    5.6   -0.8  -99.1
    5.6    0.0  -85.2
    5.6    0.8  -56.4
    5.6    1.6  -37.7
    5.6    2.4  -20.0
    5.6    3.2   -9.2
    6.4   -5.6 -172.9
    6.4   -4.8 -166.2
    6.4   -4.0 -167.5
    6.4   -3.2 -151.4
    6.4   -2.4 -134.4
    6.4   -1.6 -118.0
    6.4   -0.8  -95.0
    6.4    0.0  -75.2
    6.4    0.8  -58.9
    6.4    1.6  -46.0
    7.2   -4.0 -167.0
    7.2   -3.2 -149.4
    7.2   -2.4 -129.9
    7.2   -1.6 -116.1
    7.2   -0.8  -95.0
    7.2    0.0  -72.4
    8.0   -3.2 -138.6
    8.0   -2.4 -128.6
   -5.6    1.6  177.4
   -5.6    2.4  177.5
    6.4    2.4  -27.4
   -6.4    0.0  118.9
   -6.4   -0.8  113.1
   -4.8   -4.8   20.9
   -4.0   -5.6    2.5
   -6.8    0.8  147.8
   -6.8   -1.6   90.4
    4.8    4.8   24.7
    5.6    4.0    0.2
   -5.6    3.2  193.2
   -5.6   -4.0   42.1
    7.2    0.8  -65.7
   -3.2   -6.4  -22.0
    4.0    5.6   41.6
    6.4    3.2  -15.5
   -6.4    1.6  173.2
   -6.4   -2.4   68.3
    2.4    6.4   65.0
   -1.6   -7.2  -65.9
    7.2    1.6  -51.6
   -6.4   -3.2   51.7
   -6.4    2.4  173.9
   -4.8   -5.6    5.4
   -4.8    4.8  230.4
   -2.4    6.4  185.0
   -2.4   -7.2  -53.1
    3.2    6.4   68.7
    7.2    2.4  -32.2
    5.6    4.8   22.5
   -4.0   -6.4   -9.2
   -5.6   -4.8   22.8
    6.4    4.0   -5.3
